control_id,product_id,control_name,control_area,status,failure_rate,open_findings,owner,remediation_days,privacy_review_required
HPA-009-model-output-review,HPA-009,Model output review,Governance,Watch,0.058,1,Sofia Martinez,5,No
HPA-009-client-facing-documentation,HPA-009,Client-facing documentation,Release readiness,Watch,0.017,1,Sofia Martinez,4,No
HPA-010-access-audit,HPA-010,Access audit,Privacy and access,Watch,0.061,1,Mina Shah,10,Yes
HPA-010-minimum-necessary-data,HPA-010,Minimum necessary data,Privacy and access,Watch,0.015,2,Mina Shah,10,Yes
HPA-010-metric-lineage,HPA-010,Metric lineage,Data quality,Watch,0.011,2,Mina Shah,9,No
HPA-010-refresh-sla,HPA-010,Refresh SLA,Data quality,Watch,0.031,2,Mina Shah,7,No
HPA-010-de-identification-check,HPA-010,De-identification check,Privacy and access,Pass,0.071,0,Mina Shah,0,No
HPA-010-model-output-review,HPA-010,Model output review,Governance,Pass,0,0,Mina Shah,0,No
HPA-010-client-facing-documentation,HPA-010,Client-facing documentation,Release readiness,Remediate,0.001,4,Mina Shah,37,No
HPA-011-access-audit,HPA-011,Access audit,Privacy and access,Remediate,0.052,3,Ravi Kapoor,9,Yes
HPA-011-minimum-necessary-data,HPA-011,Minimum necessary data,Privacy and access,Watch,0.006,1,Ravi Kapoor,7,Yes
HPA-011-metric-lineage,HPA-011,Metric lineage,Data quality,Watch,0.041,2,Ravi Kapoor,18,No
HPA-011-refresh-sla,HPA-011,Refresh SLA,Data quality,Watch,0.041,1,Ravi Kapoor,3,No
HPA-011-de-identification-check,HPA-011,De-identification check,Privacy and access,Remediate,0,3,Ravi Kapoor,25,Yes
HPA-011-model-output-review,HPA-011,Model output review,Governance,Pass,0.017,0,Ravi Kapoor,0,No
HPA-011-client-facing-documentation,HPA-011,Client-facing documentation,Release readiness,Watch,0.036,2,Ravi Kapoor,8,No
HPA-012-access-audit,HPA-012,Access audit,Privacy and access,Remediate,0.025,3,Kara Nguyen,17,Yes
HPA-012-minimum-necessary-data,HPA-012,Minimum necessary data,Privacy and access,Pass,0.017,0,Kara Nguyen,0,No
HPA-012-metric-lineage,HPA-012,Metric lineage,Data quality,Watch,0.015,2,Kara Nguyen,11,No
HPA-012-refresh-sla,HPA-012,Refresh SLA,Data quality,Watch,0.002,1,Kara Nguyen,8,No
HPA-012-de-identification-check,HPA-012,De-identification check,Privacy and access,Watch,0,2,Kara Nguyen,7,Yes
HPA-012-model-output-review,HPA-012,Model output review,Governance,Pass,0.002,0,Kara Nguyen,0,No
HPA-012-client-facing-documentation,HPA-012,Client-facing documentation,Release readiness,Watch,0.039,1,Kara Nguyen,5,No
HPA-013-access-audit,HPA-013,Access audit,Privacy and access,Watch,0,2,Olivia Chen,19,Yes
HPA-013-minimum-necessary-data,HPA-013,Minimum necessary data,Privacy and access,Remediate,0.058,3,Olivia Chen,28,Yes
HPA-013-metric-lineage,HPA-013,Metric lineage,Data quality,Remediate,0.068,3,Olivia Chen,22,No
HPA-013-refresh-sla,HPA-013,Refresh SLA,Data quality,Remediate,0.053,4,Olivia Chen,26,No
HPA-013-de-identification-check,HPA-013,De-identification check,Privacy and access,Watch,0.058,1,Olivia Chen,10,Yes
HPA-013-model-output-review,HPA-013,Model output review,Governance,Remediate,0.091,4,Olivia Chen,15,No
HPA-013-client-facing-documentation,HPA-013,Client-facing documentation,Release readiness,Remediate,0.026,4,Olivia Chen,12,No
HPA-014-access-audit,HPA-014,Access audit,Privacy and access,Watch,0.045,2,Sam Reed,16,Yes
HPA-014-minimum-necessary-data,HPA-014,Minimum necessary data,Privacy and access,Pass,0,0,Sam Reed,0,No
HPA-014-metric-lineage,HPA-014,Metric lineage,Data quality,Watch,0.027,1,Sam Reed,7,No
HPA-014-refresh-sla,HPA-014,Refresh SLA,Data quality,Watch,0.027,2,Sam Reed,17,No
HPA-014-de-identification-check,HPA-014,De-identification check,Privacy and access,Remediate,0.053,3,Sam Reed,28,Yes
HPA-014-model-output-review,HPA-014,Model output review,Governance,Remediate,0.021,3,Sam Reed,31,No
HPA-014-client-facing-documentation,HPA-014,Client-facing documentation,Release readiness,Watch,0.047,1,Sam Reed,6,No
HPA-015-access-audit,HPA-015,Access audit,Privacy and access,Watch,0.041,1,Fatima Ahmed,7,Yes
HPA-015-minimum-necessary-data,HPA-015,Minimum necessary data,Privacy and access,Watch,0.051,1,Fatima Ahmed,3,Yes
HPA-015-metric-lineage,HPA-015,Metric lineage,Data quality,Remediate,0.048,3,Fatima Ahmed,10,No
HPA-015-refresh-sla,HPA-015,Refresh SLA,Data quality,Remediate,0.027,3,Fatima Ahmed,11,No
HPA-015-de-identification-check,HPA-015,De-identification check,Privacy and access,Pass,0.008,0,Fatima Ahmed,0,No
HPA-015-model-output-review,HPA-015,Model output review,Governance,Pass,0.028,0,Fatima Ahmed,0,No
HPA-015-client-facing-documentation,HPA-015,Client-facing documentation,Release readiness,Pass,0.012,0,Fatima Ahmed,0,No
HPA-016-access-audit,HPA-016,Access audit,Privacy and access,Pass,0.005,0,Daniel Kim,0,No
HPA-016-minimum-necessary-data,HPA-016,Minimum necessary data,Privacy and access,Watch,0.083,1,Daniel Kim,7,Yes
HPA-016-metric-lineage,HPA-016,Metric lineage,Data quality,Watch,0.078,1,Daniel Kim,10,No
HPA-016-refresh-sla,HPA-016,Refresh SLA,Data quality,Remediate,0.042,3,Daniel Kim,14,No
HPA-016-de-identification-check,HPA-016,De-identification check,Privacy and access,Remediate,0.038,4,Daniel Kim,15,Yes
HPA-016-model-output-review,HPA-016,Model output review,Governance,Watch,0.021,1,Daniel Kim,7,No
HPA-016-client-facing-documentation,HPA-016,Client-facing documentation,Release readiness,Watch,0.023,1,Daniel Kim,4,No
